Serving HTTP on 0.0.0.0 port 9011 (http://0.0.0.0:9011/) ...
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:26:26] code 404, message File not found
10.203.61.183 - - [12/Nov/2024 12:26:26] "GET /favicon.ico HTTP/1.1" 404 -
10.200.112.35 - - [12/Nov/2024 12:27:05] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:05] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:07] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:08] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:01] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:01] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:03] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:59] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:59] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:32:07] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:32:07] "GET /script.js HTTP/1.1" 304 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET / HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /styles.css HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/service_logo.png HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /script.js HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:20] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET / HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /styles.css HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/service_logo.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /script.js HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:20] code 404, message File not found
10.203.20.129 - - [12/Nov/2024 12:32:20] "GET /favicon.ico HTTP/1.1" 404 -
10.203.24.255 - - [12/Nov/2024 12:32:21] code 404, message File not found
10.203.24.255 - - [12/Nov/2024 12:32:21] "GET /favicon.ico HTTP/1.1" 404 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET / HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /styles.css HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /script.js HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/service_logo.png HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:23] code 404, message File not found
10.203.15.236 - - [12/Nov/2024 12:32:23] "GET /favicon.ico HTTP/1.1" 404 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET / HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /styles.css HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/service_logo.png HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /script.js HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:32:26] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:32:28] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.203.20.129 - - [12/Nov/2024 12:32:28] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:32:35] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.203.24.255 - - [12/Nov/2024 12:32:51] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 12:35:41] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET / HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:09] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:43:10] "GET /terms.html HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:45:56] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:45:56] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:45:58] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:56:57] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:57:02] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:58:04] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:59:18] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:59:19] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:59:21] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:00:50] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:00:50] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:01:32] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:04:23] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:04:23] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 13:06:34] "GET / HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET / HTTP/1.1" 200 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /styles.css HTTP/1.1" 304 -
10.203.15.236 - - [12/Nov/2024 13:25:51] "GET /res/academic_logo.png HTTP/1.1" 304 -
